County,State,FIPS Code,Vehicles / 5sqmi
Pike,KY,21,0 - 2
Mercer,KY,21,0 - 2
Benton,IN,18,0 - 2
Adair,OK,40,0 - 2
Delaware,IA,19,0 - 2
Navarro,TX,48,0 - 2
Arapahoe,CO,8,0 - 10
Marion,SC,45,0 - 2
Franklin,NY,36,0 - 2
Brunswick,NC,37,0 - 2
Lawrence,KY,21,0 - 2
Miami,OH,39,0 - 2
Monroe,KY,21,0 - 2
Charles Mix,SD,46,0 - 2
Howard,MD,24,0 - 10
Muhlenberg,KY,21,0 - 2
Gooding,ID,16,0 - 2
Prairie,MT,30,0 - 2
Williamsburg,VA,51,2 - 5
Catron,NM,35,0 - 2
Cass,NE,31,0 - 2
Cherokee,GA,13,0 - 10
Butler,PA,42,0 - 2
Cottonwood,MN,27,0 - 2
Madison,NY,36,0 - 2
Leslie,KY,21,0 - 2
Gibson,TN,47,0 - 2
Polk,IA,19,0 - 2
Appanoose,IA,19,0 - 2
Jackson,TN,47,0 - 2
Jefferson,OK,40,0 - 2
Howard,TX,48,0 - 2
Lamar,MS,28,0 - 2
Lawrence,AR,5,0 - 2
Kershaw,SC,45,0 - 2
Coke,TX,48,0 - 2
Herkimer,NY,36,0 - 2
Isabella,MI,26,0 - 2
Van Wert,OH,39,0 - 2
Yolo,CA,6,2 - 5
Calhoun,SC,45,0 - 2
Pontotoc,MS,28,0 - 2
Morgan,CO,8,0 - 2
Montgomery,TN,47,0 - 2
St. Clair,IL,17,0 - 2
Fentress,TN,47,0 - 2
Jim Wells,TX,48,0 - 2
Sheboygan,WI,55,0 - 2
Dent,MO,29,0 - 2
Chester,SC,45,0 - 2
Ottawa,MI,26,0 - 2
Kosciusko,IN,18,0 - 2
Newport News,VA,51,0 - 2
Carbon,WY,56,0 - 2
Genesee,MI,26,0 - 2
Jenkins,GA,13,0 - 2
Tulare,CA,6,0 - 2
Macoupin,IL,17,0 - 2
Treasure,MT,30,0 - 2
Gilmer,GA,13,0 - 2
Johnson,KS,20,0 - 10
Brown,KS,20,0 - 2
Scott,AR,5,0 - 2
Chilton,AL,1,0 - 2
St. Lucie,FL,12,0 - 2
Houston,MN,27,0 - 2
Hart,KY,21,0 - 2
Madison,AL,1,0 - 2
Ionia,MI,26,0 - 2
Cheboygan,MI,26,0 - 2
Yadkin,NC,37,0 - 2
Yalobusha,MS,28,0 - 2
Forest,PA,42,0 - 2
Gosper,NE,31,0 - 2
Bienville,LA,22,0 - 2
Nobles,MN,27,0 - 2
Webster,WV,54,0 - 2
Clay,AR,5,0 - 2
Berkshire,MA,25,0 - 2
Becker,MN,27,0 - 2
Botetourt,VA,51,0 - 2
Sagadahoc,ME,23,0 - 2
Cooper,MO,29,0 - 2
Pemiscot,MO,29,0 - 2
Nicholas,KY,21,0 - 2
Garfield,CO,8,0 - 2
Lee,NC,37,0 - 2
Windham,VT,50,0 - 2
Van Zandt,TX,48,0 - 2
Bledsoe,TN,47,0 - 2
Worcester,MA,25,0 - 2
Knox,ME,23,0 - 2
Roanoke,VA,51,0 - 2
Roanoke,VA,51,0 - 2
Westchester,NY,36,10 - 25
Grady,GA,13,0 - 2
Sussex,DE,10,0 - 2
Clearwater,MN,27,0 - 2
Barren,KY,21,0 - 2
Cass,MO,29,0 - 2
Putnam,NY,36,0 - 2
Sunflower,MS,28,0 - 2
Camden,MO,29,0 - 2
Wilson,TN,47,0 - 2
Long,GA,13,0 - 2
Inyo,CA,6,0 - 2
District of Columbia,DC,11,25 - 50
Finney,KS,20,0 - 2
Baker,OR,41,0 - 2
Stanley,SD,46,0 - 2
Buchanan,VA,51,0 - 2
Seneca,OH,39,0 - 2
Middlesex,MA,25,10 - 25
Zapata,TX,48,0 - 2
Blaine,ID,16,0 - 2
Walworth,WI,55,0 - 2
Black Hawk,IA,19,0 - 2
Benton,MS,28,0 - 2
Hinds,MS,28,0 - 2
Zavala,TX,48,0 - 2
Harvey,KS,20,0 - 2
Calhoun,AL,1,0 - 2
Chippewa,MI,26,0 - 2
O'Brien,IA,19,0 - 2
Early,GA,13,0 - 2
Clay,MS,28,0 - 2
Oldham,TX,48,0 - 2
Austin,TX,48,0 - 2
Gaines,TX,48,0 - 2
Ransom,ND,38,0 - 2
Costilla,CO,8,0 - 2
Motley,TX,48,0 - 2
Barton,MO,29,0 - 2
Taylor,FL,12,0 - 2
Geary,KS,20,0 - 2
Huron,OH,39,0 - 2
Live Oak,TX,48,0 - 2
Whitfield,GA,13,0 - 2
Wakulla,FL,12,0 - 2
St. Francis,AR,5,0 - 2
Lackawanna,PA,42,0 - 2
Huntington,IN,18,0 - 2
Silver Bow,MT,30,0 - 2
Hardy,WV,54,0 - 2
Bradley,AR,5,0 - 2
Faulkner,AR,5,0 - 2
Sumter,GA,13,0 - 2
Barbour,WV,54,0 - 2
North Slope,AK,2,0 - 2
Winnebago,WI,55,2 - 5
Wright,MO,29,0 - 2
Walton,GA,13,0 - 2
Darlington,SC,45,0 - 2
Ashland,OH,39,0 - 2
Calhoun,MS,28,0 - 2
Banner,NE,31,0 - 2
Carbon,UT,49,0 - 2
Twiggs,GA,13,0 - 2
Haskell,TX,48,0 - 2
Douglas,GA,13,0 - 2
Greene,PA,42,0 - 2
Pondera,MT,30,0 - 2
Decatur,KS,20,0 - 2
Westmoreland,VA,51,0 - 2
Lake,CA,6,0 - 2
Roane,TN,47,0 - 2
Logan,WV,54,0 - 2
Saginaw,MI,26,0 - 2
Greene,IA,19,0 - 2
Pope,IL,17,0 - 2
Hempstead,AR,5,0 - 2
Hawaii,HI,15,0 - 2
Williamson,IL,17,0 - 2
Lincoln,WV,54,0 - 2
Barry,MI,26,0 - 2
Luce,MI,26,0 - 2
White,IN,18,0 - 2
Washington,OR,41,10 - 25
York,NE,31,0 - 2
Iberville,LA,22,0 - 2
Maverick,TX,48,0 - 2
Nuckolls,NE,31,0 - 2
Webster,LA,22,0 - 2
Maries,MO,29,0 - 2
Bowman,ND,38,0 - 2
Lincoln,KY,21,0 - 2
Walsh,ND,38,0 - 2
Andrews,TX,48,0 - 2
Polk,FL,12,0 - 2
Douglas,NE,31,2 - 5
Dade,MO,29,0 - 2
Ouachita,LA,22,0 - 2
Glacier,MT,30,0 - 2
Collin,TX,48,0 - 10
Jackson,CO,8,0 - 2
Knott,KY,21,0 - 2
Radford,VA,51,0 - 2
Manistee,MI,26,0 - 2
Ogle,IL,17,0 - 2
Clinch,GA,13,0 - 2
Madison,LA,22,0 - 2
Dale,AL,1,0 - 2
Otero,NM,35,0 - 2
Marshall,MS,28,0 - 2
Lewis,KY,21,0 - 2
Faribault,MN,27,0 - 2
Columbia,WI,55,0 - 2
Morgan,IN,18,0 - 2
Livingston,NY,36,0 - 2
Crane,TX,48,0 - 2
Sumter,FL,12,0 - 2
Simpson,MS,28,0 - 2
Gladwin,MI,26,0 - 2
Madison,MS,28,0 - 2
Boise,ID,16,0 - 2
Platte,WY,56,0 - 2
Lincoln,LA,22,0 - 2
Hall,GA,13,0 - 2
Wetzel,WV,54,0 - 2
Aiken,SC,45,0 - 2
Jefferson,AR,5,0 - 2
Grant,WA,53,0 - 2
Freestone,TX,48,0 - 2
Bandera,TX,48,0 - 2
Renville,MN,27,0 - 2
Schenectady,NY,36,2 - 5
Morton,KS,20,0 - 2
Clarke,AL,1,0 - 2
St. Mary's,MD,24,0 - 2
Greenbrier,WV,54,0 - 2
Suwannee,FL,12,0 - 2
Livingston,IL,17,0 - 2
Putnam,IL,17,0 - 2
Tarrant,TX,48,0 - 10
Monroe,AL,1,0 - 2
Berkeley,SC,45,0 - 2
McDowell,WV,54,0 - 2
Marion,IA,19,0 - 2
Vernon,WI,55,0 - 2
Union,MS,28,0 - 2
Marion,GA,13,0 - 2
Hale,TX,48,0 - 2
Knox,TN,47,0 - 2
Pointe Coupee,LA,22,0 - 2
Niagara,NY,36,0 - 2
Stutsman,ND,38,0 - 2
Gloucester,VA,51,0 - 2
Beltrami,MN,27,0 - 2
Berks,PA,42,0 - 2
Brown,OH,39,0 - 2
Roosevelt,MT,30,0 - 2
Hemphill,TX,48,0 - 2
Alleghany,VA,51,0 - 2
Carter,MO,29,0 - 2
Hancock,IN,18,0 - 2
Hot Springs,WY,56,0 - 2
Liberty,GA,13,0 - 2
Clarendon,SC,45,0 - 2
Currituck,NC,37,0 - 2
Dubois,IN,18,0 - 2
Weld,CO,8,0 - 2
Jackson,WV,54,0 - 2
Hudson,NJ,34,10 - 25
Ford,KS,20,0 - 2
Dorchester,SC,45,0 - 2
Teton,ID,16,0 - 2
Little River,AR,5,0 - 2
Woodson,KS,20,0 - 2
Henderson,KY,21,0 - 2
King,TX,48,0 - 2
Lee,TX,48,0 - 2
DeKalb,MO,29,0 - 2
Danville,VA,51,0 - 2
Henry,OH,39,0 - 2
Cullman,AL,1,0 - 2
Lee,KY,21,0 - 2
Yates,NY,36,0 - 2
Del Norte,CA,6,0 - 2
Lake,MN,27,0 - 2
Warren,IL,17,0 - 2
Langlade,WI,55,0 - 2
Baldwin,AL,1,0 - 2
Lea,NM,35,0 - 2
Spencer,IN,18,0 - 2
Turner,GA,13,0 - 2
Piatt,IL,17,0 - 2
Franklin,TN,47,0 - 2
Fort Bend,TX,48,2 - 5
Dodge,MN,27,0 - 2
Brantley,GA,13,0 - 2
Richland,OH,39,0 - 2
Itasca,MN,27,0 - 2
Woods,OK,40,0 - 2
Blount,TN,47,0 - 2
Hillsborough,FL,12,2 - 5
Dickinson,IA,19,0 - 2
Plymouth,IA,19,0 - 2
Roosevelt,NM,35,0 - 2
Wayne,TN,47,0 - 2
Perry,AR,5,0 - 2
Beckham,OK,40,0 - 2
Corson,SD,46,0 - 2
St. Lawrence,NY,36,0 - 2
Haakon,SD,46,0 - 2
Clinton,IA,19,0 - 2
Coffee,AL,1,0 - 2
Mercer,NJ,34,0 - 10
Dane,WI,55,0 - 2
Lowndes,MS,28,0 - 2
Craven,NC,37,0 - 2
Wolfe,KY,21,0 - 2
La Paz,AZ,4,0 - 2
Carter,TN,47,0 - 2
