Company,Address,City,State,Zip,Capacity
Integrity Biofuels,780 Industrial Drive,Morristown,IN,46161,5
"Triangle Biofuels Industries, Inc.",1724 Baldree Rd.,Wilson,NC,27893,3
Countrymark Cooperative,,Indianapolis,IN,46201,
"Western Iowa Energy, LLC","1220 S. Center St., PO Box 399",Wall Lake,IA,51466,30
"Crimson Renewable Energy, LP",17731 Millux Rd.,Bakersfield,CA,93311,
"GeoGreen Biofuels, Inc.",6011 Malburg Way,Vernon,CA,90058,
Imperial Western Products,86600 54th Ave,Coachella,CA,92236,10.5
"New Leaf Biofuel, LLC",2285 Newton Ave.,San Diego,CA,92113,6
Green Waste Solutions of Alaska,6301 Rosewood Street,Anchorage,AK,99518,
"Allied Renewable Energy, LLC",2700 Ishkooda-Wenonah Road,Birmingham,AL,35211,15
"Veros Energy, LLC",12982 Cherokee Bend Drive,Moundville,AL,35474,
"Delek Renewables, LLC AR",117 Mac McGoogan Drive,Crossett,AR,71635,
"Delta American Fuel, LLC",1305 Highway 20,Helena,AR,72342,40
"Grecycle Arizona, LLC",7772 South Recycle Ct,Tucson,AZ,85706,2.076
REV Biodiesel,1980 West Commerce Ave,Gilbert,AZ,85233,10
Baker Commodities Los Angeles,4020 Bandini Blvd,Vernon,CA,90058,
"Bay Biodiesel, LLC (San Jose)",905 Stockton Ave,San Jose,CA,95110,3
"Biodiesel Industries of Ventura, LLC","U.S. Naval Base Ventura, National Environmental Test Site",Port Hueneme,CA,93043,10
Community Fuels,809-C Snedeker Ave.,Stockton,CA,95203,10
ADM,1388 Highway 97,Velva,ND,58790,85
"REG Albert Lea, LLC",15200 780th Ave,Albert Lea,MN,56007,
Noil Energy Group,4426 East Washington Blvd,Commerce,CA,90040,
"North Star Biofuels, LLC",860 W. Beach Street,Watsonville,CA,95076,
"Simple Fuels Biodiesel, Inc.",93232 Highway 70,Chilcoot,CA,96105,1
"Yokayo Biofuels, Inc.",350 Orr Springs Road,Ukiah,CA,95482,0.5
BioDiesel One Ltd,102 West Center St.,Southington,CT,6489,3
CGF Clayton LLC,281 School Ln,Clayton,DE,19938,11
"Milligan Bio-Tech, Inc.",Box 130,Foam Lake,SK,S0A 1A0,
Genuine Bio-Fuel,17250 SW Railroad Ave.,Indiantown,FL,34956,
GGS FTMyers FL,7904 Interstate Court,North Fort Myers,FL,33917,
GGS Miami LLC,8815 NW 33rd Street,Doral,FL,33172,
Green Biofuels Corporation,"3123 NW 73 Street, Suite C",Miami,FL,33147,
"Viesel Fuel, LLC",3041 SE Dominica Terrace,Stuart,FL,34997,
"Down to Earth Energy, Inc.",941 Monroe Jersey Rd,Monroe,GA,30655,2
Peach State Labs,180 Burlington Road,Rome,GA,30161,
Seminole Biodiesel,310 Commodore Industrial Blvd,Bainbridge,GA,39817,1.5
Soymet Energy LLC,212 Stoffel Road,Tallapoosa,GA,30176,
World Energy,555 W Hermitage NE,Rome,GA,30161,12.5
AGP Algona,2108 140th Avenue,Algona,IA,50511,
AGP Sergeant Bluff,2753 Portneal Circle,Sergeant Bluff,IA,51054,
Cargill,602 Industrial Rd,Iowa Falls,IA,50126,
"Clinton County Bio Energy, LLC",5640 44th Ave S,Clinton,IA,52732,10
"Energy Tec, LLC",233 Ave 92nd St,Maquoketa,IA,52060,0.03
"Iowa Renewable Energy, LLC",1701 East 7th Street,Washington,IA,52353,
"REG Mason City, LLC",4172 19th Street SW,Mason City,IA,50401,
"REG Newton, LLC",3426 East 28th Street N.,Newton,IA,50208,
"REG Ralston, LLC",1701 E. 7th Street,Ralston,IA,51443,
Western Dubuque Biodiesel,904 Jamesmeier Rd,Farley,IA,52046,36
"Sabine Biofuels ll, LLC",2450 South Gulfway,Port Arthur,TX,77640,
"Texas Biotech, Inc",614 111th St.,Arlington,TX,76011,
"Texas Green Manufacturing, LLC",133 Blakeley Ave,Littlefield,TX,79339,1.25
The Sun Products Corp,12400 Bay Area Blvd,Pasadena,TX,77507,
Washakie Renewable Energy,7950 W 24000 N,Plymouth,UT,84330,
"RECO Biodiesel, LLC",710 Hospital Street,Richmond,VA,23219,2
"Red Birch Energy, Inc.",5656 Virginia Ave,Bassett,VA,24055,2.5
Shenandoah Agricultural Products,2973 Woodside Road,Clearbrook,VA,22624,0.3
