District Name,State FIPS,CD114 FIPS
Resident Commissioner District (at Large),72,98
Congressional District 9,12,09
Delegate District (at Large),69,98
Congressional District 13,12,13
Congressional District 19,12,19
Congressional District 26,12,26
Congressional District 22,12,22
Congressional District 24,12,24
Congressional District 14,12,14
Congressional District 12,12,12
Congressional District 16,12,16
Congressional District 11,12,11
Congressional District 15,12,15
Congressional District 10,12,10
Congressional District 17,12,17
Congressional District 7,12,07
Congressional District 25,12,25
Congressional District 8,12,08
Congressional District 20,12,20
Congressional District 18,12,18
Congressional District 27,12,27
Congressional District 21,12,21
Congressional District 23,12,23
Congressional District 11,13,11
Congressional District 3,13,03
Congressional District 13,13,13
Congressional District 2,13,02
Congressional District 5,13,05
Congressional District 6,13,06
Congressional District 7,13,07
Congressional District 4,13,04
Congressional District 9,13,09
Congressional District 8,13,08
Congressional District 10,13,10
Congressional District 3,45,03
Congressional District 12,13,12
Congressional District 4,45,04
Congressional District 1,13,01
Congressional District 2,45,02
Congressional District 5,45,05
Congressional District 6,45,06
Congressional District 1,45,01
Congressional District 7,45,07
Congressional District 2,12,02
Congressional District 3,12,03
Congressional District 4,12,04
Congressional District 5,12,05
Congressional District 6,12,06
Congressional District 8,37,08
Congressional District 2,37,02
Congressional District 4,37,04
Congressional District 8,42,08
Congressional District 1,34,01
Congressional District 2,34,02
Congressional District 7,34,07
Congressional District 5,34,05
Congressional District 3,34,03
Congressional District 11,34,11
Delegate District (at Large),78,98
Congressional District 4,34,04
Congressional District 10,34,10
Congressional District 6,34,06
Congressional District 8,34,08
Congressional District 9,34,09
Congressional District 4,25,04
Congressional District 7,25,07
Congressional District 8,25,08
Congressional District 3,36,03
Congressional District 17,36,17
Congressional District 7,26,07
Congressional District 10,39,10
Congressional District 3,54,03
Congressional District 5,51,05
Congressional District 8,24,08
Congressional District 8,51,08
Congressional District 12,34,12
Congressional District 9,25,09
Congressional District 3,47,03
Congressional District 4,21,04
Congressional District 8,39,08
Congressional District 1,39,01
Congressional District 6,21,06
Congressional District 5,39,05
Congressional District 2,47,02
Congressional District 2,39,02
Congressional District 5,21,05
Congressional District 4,39,04
Congressional District 12,26,12
Congressional District 3,39,03
Congressional District 1,47,01
Congressional District 15,39,15
Congressional District 12,39,12
Congressional District 9,39,09
Congressional District 7,39,07
Congressional District 16,39,16
Congressional District 11,39,11
Congressional District 6,39,06
Congressional District 9,51,09
Congressional District 14,39,14
Congressional District 13,39,13
Congressional District 1,54,01
Congressional District 2,54,02
Congressional District 6,51,06
Congressional District 6,24,06
Congressional District 10,51,10
Congressional District 7,51,07
Congressional District 4,51,04
Congressional District 11,51,11
Congressional District 9,42,09
Congressional District 1,37,01
Congressional District 1,42,01
Congressional District 11,37,11
Congressional District 10,37,10
Congressional District 5,37,05
Congressional District 9,37,09
Congressional District 12,37,12
Congressional District 18,42,18
Congressional District 3,42,03
Congressional District 14,42,14
Congressional District 6,37,06
Congressional District 12,42,12
Congressional District 5,42,05
Congressional District 7,37,07
Congressional District 13,37,13
Delegate District (at Large),11,98
Congressional District 3,51,03
Congressional District 4,42,04
Congressional District 1,51,01
Congressional District 7,24,07
Congressional District 4,24,04
Congressional District 5,24,05
Congressional District 3,24,03
Congressional District 3,37,03
Congressional District 14,13,14
Congressional District 3,21,03
Congressional District 3,18,03
Congressional District 10,42,10
Congressional District 11,42,11
Congressional District 2,24,02
Congressional District 16,42,16
Congressional District 1,24,01
Congressional District 15,42,15
Congressional District 2,51,02
Congressional District 17,42,17
Congressional District 6,42,06
Congressional District 7,42,07
Congressional District (at Large),10,00
Congressional District 2,42,02
Congressional District 13,42,13
Congressional District 11,36,11
Congressional District 10,36,10
Congressional District 12,36,12
Congressional District 7,36,07
Congressional Districts not defined,09,ZZ
Congressional District 1,36,01
