Population 2000,Population 2001,Name,Area,County FIPS,State FIPS,State Name
59383,59548,Carteret,505.49801,031,37,North Carolina
223314,228898,Durham,299.1284,063,37,North Carolina
87420,88090,Nash,541.96084,127,37,North Carolina
55606,55063,Edgecombe,506.42231,065,37,North Carolina
627846,654454,Wake,856.89701,183,37,North Carolina
25593,25477,Martin,461.92253,117,37,North Carolina
34835,36121,Davie,266.7485,059,37,North Carolina
122660,127684,Iredell,597.15815,097,37,North Carolina
147246,149500,Davidson,567.21442,057,37,North Carolina
4149,4137,Tyrrell,398.94241,177,37,North Carolina
13723,13649,Washington,377.49216,187,37,North Carolina
130454,133646,Randolph,789.76096,151,37,North Carolina
49329,50852,Chatham,709.36165,037,37,North Carolina
121965,129349,Johnston,795.33095,101,37,North Carolina
44958,45147,Beaufort,853.60674,013,37,North Carolina
18974,19394,Greene,265.70351,079,37,North Carolina
113329,113804,Wayne,556.4819,191,37,North Carolina
59648,59370,Lenoir,402.80953,107,37,North Carolina
91436,92366,Craven,727.18794,049,37,North Carolina
12934,13091,Pamlico,347.0377,137,37,North Carolina
29967,31062,Dare,378.02127,055,37,North Carolina
10381,10451,Jones,473.13638,103,37,North Carolina
5826,5794,Hyde,691.99294,095,37,North Carolina
18190,18765,Currituck,257.80597,053,37,North Carolina
44711,45512,Stokes,455.90968,169,37,North Carolina
22086,22190,Northampton,550.23552,131,37,North Carolina
22601,22651,Hertford,357.25634,091,37,North Carolina
19972,20052,Warren,443.79883,185,37,North Carolina
42954,43651,Vance,269.82132,181,37,North Carolina
91928,92201,Rockingham,573.07344,157,37,North Carolina
48498,49849,Granville,535.89017,077,37,North Carolina
11368,11570,Perquimans,249.73069,143,37,North Carolina
14526,14478,Chowan,174.01216,041,37,North Carolina
36348,37142,Yadkin,337.58894,197,37,North Carolina
17167,17399,Avery,247.27322,011,37,North Carolina
47260,48828,Franklin,494.48334,069,37,North Carolina
306067,309746,Forsyth,413.21265,067,37,North Carolina
421048,429083,Guilford,655.86619,081,37,North Carolina
130800,134141,Alamance,435.75475,001,37,North Carolina
118227,120465,Orange,399.99882,135,37,North Carolina
19773,19594,Bertie,707.96123,015,37,North Carolina
56742,57438,Carter,347.69064,019,47,Tennessee
107198,108746,Washington,329.20827,179,47,Tennessee
62909,64075,Greene,624.3378,059,47,Tennessee
58128,58777,Hamblen,175.77016,063,47,Tennessee
17667,17728,Unicoi,186.53332,171,47,Tennessee
24384,24666,Ashe,427.00402,009,37,North Carolina
10677,10851,Alleghany,235.46907,005,37,North Carolina
71219,71981,Surry,537.84077,171,37,North Carolina
10516,10603,Gates,344.02028,073,37,North Carolina
6885,7019,Camden,241.59865,029,37,North Carolina
130340,132097,Rowan,524.14784,159,37,North Carolina
73814,74981,Wilson,375.5628,195,37,North Carolina
133798,136167,Pitt,654.69991,147,37,North Carolina
35623,36348,Person,404.08358,145,37,North Carolina
153048,153079,Sullivan,430.14069,163,47,Tennessee
17499,17672,Johnson,302.7294,091,47,Tennessee
29862,30230,Claiborne,441.54566,025,47,Tennessee
6786,6789,Hancock,223.49753,067,47,Tennessee
141685,145203,Catawba,413.56292,035,37,North Carolina
23501,23898,Caswell,428.57915,033,37,North Carolina
57370,57113,Halifax,731.78574,083,37,North Carolina
34897,34866,Pasquotank,229.04876,139,37,North Carolina
65632,66611,Wilkes,759.68552,193,37,North Carolina
42695,43126,Watauga,312.44374,189,37,North Carolina
53563,54652,Hawkins,499.43162,073,47,Tennessee
206330,209543,Buncombe,659.87554,021,37,North Carolina
49040,49548,Lee,259.16188,105,37,North Carolina
22305,22594,Tattnall,488.21877,267,13,Georgia
6179,6159,Wheeler,300.17268,309,13,Georgia
10495,10794,Evans,186.8944,109,13,Georgia
199775,200167,Richmond,328.46201,245,13,Georgia
32278,32565,Bladen,887.16229,017,37,North Carolina
10076,9997,Hancock,478.47541,141,13,Georgia
62899,63567,Rutherford,565.82895,161,37,North Carolina
96287,97771,Cleveland,468.47829,045,37,North Carolina
91025,94291,Harnett,601.725,085,37,North Carolina
63780,65232,Lincoln,307.14377,109,37,North Carolina
74769,76472,Moore,705.58652,125,37,North Carolina
695454,720315,Mecklenburg,546.15714,119,37,North Carolina
26822,27461,Montgomery,501.63687,123,37,North Carolina
131063,136924,Cabarrus,364.18089,025,37,North Carolina
58100,58743,Stanly,404.48989,167,37,North Carolina
89173,91428,Henderson,375.00272,089,37,North Carolina
29334,29728,Transylvania,380.5856,175,37,North Carolina
190365,192410,Gaston,363.88719,071,37,North Carolina
18324,18773,Polk,238.66065,149,37,North Carolina
60161,61687,Sampson,947.38065,163,37,North Carolina
302963,304907,Cumberland,658.78886,051,37,North Carolina
25275,25264,Anson,537.39066,007,37,North Carolina
123677,131898,Union,639.35267,179,37,North Carolina
49063,50114,Duplin,818.81189,061,37,North Carolina
46564,46628,Richmond,479.57774,153,37,North Carolina
35998,36157,Scotland,320.65403,165,37,North Carolina
24595,25063,Edgefield,506.58017,037,45,South Carolina
32502,32886,Clarendon,695.62619,027,45,South Carolina
37217,37024,Williamsburg,937.43282,089,45,South Carolina
15185,15564,Calhoun,392.89548,017,45,South Carolina
142552,144443,Aiken,1080.32263,003,45,South Carolina
55797,57109,Georgetown,847.24877,043,45,South Carolina
91582,92044,Orangeburg,1127.84131,075,45,South Carolina
142651,145007,Berkeley,1228.28724,015,45,South Carolina
23478,23671,Barnwell,557.531,011,45,South Carolina
16658,16586,Bamberg,395.34707,009,45,South Carolina
96413,99547,Dorchester,576.15368,035,45,South Carolina
38264,38812,Colleton,1075.12133,029,45,South Carolina
11211,11075,Allendale,412.31947,005,45,South Carolina
21386,21444,Hampton,562.64115,049,45,South Carolina
20678,21001,Jasper,666.76038,053,45,South Carolina
309969,311837,Charleston,986.22263,019,45,South Carolina
120937,125480,Beaufort,615.24251,013,45,South Carolina
15687,15945,Mitchell,222.13909,121,37,North Carolina
77415,78507,Caldwell,475.28992,027,37,North Carolina
17774,18103,Yancey,313.1093,199,37,North Carolina
19635,19997,Madison,451.54929,115,37,North Carolina
33603,34494,Alexander,263.07665,003,37,North Carolina
89148,90376,Burke,513.41046,023,37,North Carolina
42151,42787,McDowell,447.01133,111,37,North Carolina
61351,61944,Lancaster,555.6155,057,45,South Carolina
29881,29694,Union,516.39062,087,45,South Carolina
34068,34444,Chester,586.53832,023,45,South Carolina
165740,168553,Anderson,757.45429,007,45,South Carolina
42768,43524,Chesterfield,805.97067,025,45,South Carolina
