County,State,FIPS Code,Vehicles / 5sqmi
Pike,KY,21,0 - 10
Mercer,KY,21,10 - 25
Benton,IN,18,0 - 10
Adair,OK,40,0 - 10
Delaware,IA,19,10 - 25
Navarro,TX,48,10 - 25
Arapahoe,CO,8,10 - 100
Marion,SC,45,0 - 10
Franklin,NY,36,2 - 5
Brunswick,NC,37,10 - 25
Lawrence,KY,21,0 - 10
Miami,OH,39,25 - 50
Monroe,KY,21,0 - 10
Charles Mix,SD,46,2 - 5
Howard,MD,24,10 - 100
Muhlenberg,KY,21,10 - 25
Gooding,ID,16,10 - 25
Prairie,MT,30,0 - 2
Williamsburg,VA,51,10 - 100
Catron,NM,35,0 - 2
Cass,NE,31,10 - 25
Cherokee,GA,13,10 - 100
Butler,PA,42,25 - 50
Cottonwood,MN,27,2 - 5
Madison,NY,36,10 - 25
Leslie,KY,21,2 - 5
Gibson,TN,47,0 - 10
Polk,IA,19,10 - 100
Appanoose,IA,19,0 - 10
Jackson,TN,47,0 - 10
Jefferson,OK,40,2 - 5
Howard,TX,48,10 - 25
Lamar,MS,28,10 - 25
Lawrence,AR,5,0 - 10
Kershaw,SC,45,10 - 25
Coke,TX,48,0 - 2
Herkimer,NY,36,0 - 10
Isabella,MI,26,10 - 25
Van Wert,OH,39,10 - 25
Yolo,CA,6,25 - 50
Calhoun,SC,45,0 - 10
Pontotoc,MS,28,10 - 25
Morgan,CO,8,10 - 25
Montgomery,TN,47,25 - 50
St. Clair,IL,17,25 - 50
Fentress,TN,47,0 - 10
Jim Wells,TX,48,10 - 25
Sheboygan,WI,55,10 - 25
Dent,MO,29,0 - 10
Chester,SC,45,0 - 10
Ottawa,MI,26,10 - 25
Kosciusko,IN,18,10 - 25
Newport News,VA,51,10 - 100
Carbon,WY,56,0 - 2
Genesee,MI,26,10 - 100
Jenkins,GA,13,2 - 5
Tulare,CA,6,10 - 25
Macoupin,IL,17,10 - 25
Treasure,MT,30,2 - 5
Gilmer,GA,13,10 - 25
Johnson,KS,20,10 - 100
Brown,KS,20,0 - 10
Scott,AR,5,0 - 2
Chilton,AL,1,10 - 25
St. Lucie,FL,12,25 - 50
Houston,MN,27,0 - 10
Hart,KY,21,0 - 10
Madison,AL,1,25 - 50
Ionia,MI,26,10 - 25
Cheboygan,MI,26,0 - 10
Yadkin,NC,37,25 - 50
Yalobusha,MS,28,2 - 5
Forest,PA,42,0 - 2
Gosper,NE,31,2 - 5
Bienville,LA,22,2 - 5
Nobles,MN,27,0 - 10
Webster,WV,54,2 - 5
Clay,AR,5,2 - 5
Berkshire,MA,25,10 - 25
Becker,MN,27,0 - 10
Botetourt,VA,51,10 - 25
Sagadahoc,ME,23,10 - 25
Cooper,MO,29,0 - 10
Pemiscot,MO,29,2 - 5
Nicholas,KY,21,10 - 25
Garfield,CO,8,0 - 10
Lee,NC,37,25 - 50
Windham,VT,50,10 - 25
Van Zandt,TX,48,10 - 25
Bledsoe,TN,47,0 - 10
Worcester,MA,25,25 - 50
Knox,ME,23,2 - 5
Roanoke,VA,51,25 - 50
Roanoke,VA,51,10 - 25
Westchester,NY,36,10 - 100
Grady,GA,13,10 - 25
Sussex,DE,10,10 - 25
Clearwater,MN,27,2 - 5
Barren,KY,21,10 - 25
Cass,MO,29,25 - 50
Putnam,NY,36,25 - 50
Sunflower,MS,28,2 - 5
Camden,MO,29,10 - 25
Wilson,TN,47,25 - 50
Long,GA,13,2 - 5
Inyo,CA,6,0 - 2
District of Columbia,DC,11,200 - 300
Finney,KS,20,0 - 10
Baker,OR,41,2 - 5
Stanley,SD,46,0 - 2
Buchanan,VA,51,0 - 10
Seneca,OH,39,10 - 25
Middlesex,MA,25,10 - 100
Zapata,TX,48,2 - 5
Blaine,ID,16,2 - 5
Walworth,WI,55,25 - 50
Black Hawk,IA,19,10 - 25
Benton,MS,28,2 - 5
Hinds,MS,28,10 - 25
Zavala,TX,48,0 - 2
Harvey,KS,20,10 - 25
Calhoun,AL,1,10 - 25
Chippewa,MI,26,0 - 2
O'Brien,IA,19,0 - 10
Early,GA,13,2 - 5
Clay,MS,28,0 - 10
Oldham,TX,48,0 - 2
Austin,TX,48,25 - 50
Gaines,TX,48,0 - 10
Ransom,ND,38,2 - 5
Costilla,CO,8,0 - 2
Motley,TX,48,0 - 2
Barton,MO,29,0 - 10
Taylor,FL,12,2 - 5
Geary,KS,20,10 - 25
Huron,OH,39,10 - 25
Live Oak,TX,48,0 - 10
Whitfield,GA,13,25 - 50
Wakulla,FL,12,0 - 10
St. Francis,AR,5,2 - 5
Lackawanna,PA,42,25 - 50
Huntington,IN,18,10 - 25
Silver Bow,MT,30,10 - 25
Hardy,WV,54,0 - 10
Bradley,AR,5,2 - 5
Faulkner,AR,5,25 - 50
Sumter,GA,13,0 - 10
Barbour,WV,54,0 - 10
North Slope,AK,2,0 - 2
Winnebago,WI,55,25 - 50
Wright,MO,29,0 - 10
