Company,Address,City,State,Zip,Feedstock,Capacity
"ABE South Dakota, LLC",694 West Park Avenue NW,Huron,SD,57350,Corn,32
"ABE South Dakota, LLC",38469 133rd Street,Aberdeen,SD,57401,Corn,53
"Absolute Energy, LLC",1372 State Line Road,St. Ansgar,IA,50472,Corn,125
"Ace Ethanol, LLC",815 West Maple Street,Stanley,WI,54768,Corn/cellulosic biomass,48
"Adkins Energy, LLC",4350 W. Galena Road,Lena,IL,61048,Corn,52
Aemetis,Highway 99,Keyes,CA,95328,corn/sorghum,60
Al-Corn Clean Fuel,797 5th Street,Claremont,MN,55924,Corn ,120
Alliance Bio-Products,925 74th Avenue Southwest,Vero Beach,FL,32968,cellulosic biomass,8
Archer Daniels Midland Co.,4666 Faries Parkway,Decatur,IL,62526,Corn ,300
Archer Daniels Midland Co.,1 Edmund Street,Peoria,IL,61602,Corn ,185
Archer Daniels Midland Co.,1350 Waconia Drive,Cedar Rapids,IA,52404,Corn ,300
Archer Daniels Midland Co.,1350 Waconia Drive,Cedar Rapids,IA,52404,Corn ,240
Archer Daniels Midland Co.,1251 Beaver Channel Parkway,Clinton,IA,52732,Corn ,238
Archer Daniels Midland Co.,3000 East 8th St,Columbus,NE,68601,Corn,100
Archer Daniels Midland Co.,3000 East 8th St,Columbus,NE,68601,Corn,313
Archer Daniels Midland Co.,400 W Erie Road,Marshall,MN,56258,Corn,40
"Arkalon Energy, LLC (conestoga)",300 N. Lincoln Avenue,Liberal,KS,67901,corn,110
"Badger State Ethanol, LLC",820 W. 17th Street,Monroe,WI,53566,Corn,90
"Big River Resources West Burlington, LLC",15210 103rd Street,W. Burlington,IA,52655,Corn,105
Big River Resources Galva LLC,1100 SE 2nd St.,Galva,IL,61434,Corn,110
Big River Resources Boyceville LLC,N10185 370th Street,Boyceville,WI,54725,Corn,57
"Big River United Energy, LLC",3294 Vine Road,Dyersville,IA,52040,Corn,110
Blue Flint Ethanol,2841 Third Street SW,Underwood,ND,58576,Corn,70
"Bonanza Energy, LLC (conestoga)",2830 U.S. 50,Garden City,KS,67846,Corn/sorghum,55
Bridgeport Ethanol,9216 County Rd 90,Bridgeport,NE,69336,Corn,50
"Buffalo Lake Advanced Biofuels, LLC",514 West Yellowstone Trail,Buffalo Lake,MN,55314,Corn,18
"Bushmills Ethanol, Inc.",17025 Hwy 12 NE,Atwater,MN,56209,Corn,65
Butamax Advanced Biofuels LLC,1020 70th Rd.,Scandia,KS,66966,Corn,10
Calgren Renewable Fuels LLC,11813 Road 120,Pixley,CA,93256,Corn,55
Carbon Green Bioenergy,7795 Saddlebag Lake Road,Woodbury,MI,48849,Corn,55
Cardinal Ethanol,1554 N. 600 East,Union City,IN,47390,Corn,100
"Cargill, Inc.",650 Industrial Road,Blair,NE,68008,Corn,210
"Cargill, Inc.",1 Cargill Drive,Eddyville,IA,52553,Corn,35
"Cargill, Inc.",1950 Harvest Avenue,"Ft. Dodge, IA",IA,50501,Corn,115
"Center Ethanol Company, LLC",231 Monsanto Avenue,Sauget,IL,62201,Corn,54
Central Indiana Ethanol (CIE),2955 W Delphi Pike,Marion,IN,46952,Corn,55
"Central MN Renewables, LLC/Green Biologics",17936 Heron Road,Little Falls,MN,56345,Corn,22
Chief Ethanol Fuels Inc.,4225 E. South Street,Hastings,NE,68901,Corn,70
Chief Ethanol Fuels Inc.,1111 East Industry Drive,Lexington,NE,68850,Corn,50
Chippewa Valley Ethanol Co.,270 20th Street NW,Benson,MN,56215,Corn,50
CHS Inc.,1900 Steward Road,Rochelle,IL,61068,Corn,133
CHS Inc.,101 Patriot Way,Annawan,IL,61234,Corn,125
"Commonwealth Agri-Energy, LLC",4895 Pemboke Road,Hopkinsville,KY,42241,Corn,33
"Corn, LP",1303 Hwy 3 East,Goldfield,IA,50542,Corn,60
"Corn Plus, LLP",711 6th Avenue SE,Winnebago,MN,56098,Corn,40
"Dakota Ethanol, LLC",46269 SD HWY 34,Wentworth,SD,57075,Corn,48
Dakota Spirit AgEnergy LLC,3361 93rd Ave Se,Spiritwood,ND,58481,Corn,65
"DENCO II, LLC",227 South County Road 22,Morris,MN,56267,Corn,24
Diamond Ethanol,103 South FM 2646 ,Levelland,TX,79336,Corn,40
"Didion Ethanol, LLC",501 South Williams Street,Cambria,WI,53923,Corn,50
"E Energy Adams, LLC",13238 East Aspen Road,Adams,NE,68301,Corn,80
"East Kansas Agri-Energy, LLC",1304 S Main,Garnett,KS,66032,Corn,42
"Element, LLC",523 East Union Avenue,Colwich,KS,67030,Corn/Sorghum/Cellulosic Biomass,0
"Elite Octane, LLC",60502 Glacier Road,Atlantic,IA,50022,Corn,120
"Ergon Biofuels, LLC",1833 Haining Rd.,Vicksburg,MS,39183,corn,57
ESE Alcohol Inc.,1 1/2 East K-96,Leoti,KS,67861,Waste Seed Corn,2
"Flint Hills Resources, LLC",3363 Talon Ave.,Menlo,IA,50164,Corn,120
